date,new_tested,acc_tested,new_confirmed,acc_confirmed,acc_negative,being_checked,isolated
02-Mar-20,339,339,2,2,335,2,2
03-Mar-20,2,341,0,2,337,2,2
04-Mar-20,31,372,0,2,356,14,2
05-Mar-20,16,388,0,2,371,15,2
06-Mar-20,62,450,2,4,422,24,4
07-Mar-20,4,454,0,4,422,28,4
08-Mar-20,29,483,2,6,445,32,6
09-Mar-20,60,543,13,19,487,37,19
10-Mar-20,151,694,8,27,648,19,27
11-Mar-20,99,793,7,34,744,15,30
12-Mar-20,69,862,0,34,811,17,27
13-Mar-20,143,1005,35,69,917,19,60
14-Mar-20,200,1205,27,96,1109,0,83
15-Mar-20,88,1293,21,117,1167,9,104
16-Mar-20,37,1330,17,134,1183,13,121
17-Mar-20,142,1372,38,172,1278,22,156
18-Mar-20,220,1592,55,227,1342,23,197
19-Mar-20,306,1651,82,309,1570,19,269
20-Mar-20,130,2028,60,369,1643,18,321
21-Mar-20,337,2365,81,450,1895,20,392
22-Mar-20,73,2438,64,514,1904,20,437
23-Mar-20,318,2756,65,579,2177,0,500
24-Mar-20,576,3332,106,685,2625,22,600
25-Mar-20,490,3822,105,790,3032,0,701
26-Mar-20,514,4336,103,893,3443,0,780
27-Mar-20,1439,5775,153,1046,4729,0,913
28-Mar-20,491,6266,109,1155,5111,0,994
29-Mar-20,268,6534,130,1285,5249,0,1107
30-Mar-20,129,6663,129,1414,5249,0,1217
31-Mar-20,114,6777,114,1528,5249,0,1311
